المجموعة,المتغير,النوع,Default,Conservative,Balanced,Aggressive,Crypto/USDT,Forex,Gold,Scalp,أدنى,أقصى,خطوة,تحسين؟,الوصف عربي,Description EN
IDENTITY,InpMagic,long,260824,260824,260824,260824,260824,260824,260824,260824,1,999999999,1,N,رقم السحر لتمييز صفقات البوت,Magic number isolating EA trades
IDENTITY,InpTradeComment,string,AETHERION,AETHERION,AETHERION,AETHERION,AETHERION,AETHERION,AETHERION,AETHERION,,,,N,تعليق الأمر في التاريخ,Order comment written to history
IDENTITY,InpLanguage,enum,0,0,0,0,0,0,0,0,0,1,1,N,لغة لوحة الشارت 0 عربي 1 إنجليزي,HUD language 0=AR 1=EN
AUTO,InpAutoDetect,bool,1,1,1,1,1,1,1,1,0,1,1,N,تعرف تلقائي على الرمز والإطار من الشارت,Auto-detect chart symbol and timeframe
AUTO,InpForceSymbol,string,,,,,,,,,,,,N,إجبار رمز معيّن — اتركه فارغاً للشارت,"Force symbol, empty = chart"
AUTO,InpForceTF,enum,0,0,0,0,0,0,0,0,0,0,0,N,إجبار إطار — PERIOD_CURRENT = الشارت,"Force TF, CURRENT = chart"
STRATEGY,InpStrategy,enum,0,1,0,3,0,1,1,4,0,4,1,Y,0 تلقائي 1 اتجاه 2 نطاق 3 اختراق 4 سكالب,0 Auto 1 Trend 2 Range 3 Breakout 4 Scalp
STRATEGY,InpSignalOnNewBar,bool,1,1,1,0,1,1,1,0,0,1,1,N,إشارة على إغلاق الشمعة فقط (بدون إعادة رسم),Signal on closed bar only (no repaint)
STRATEGY,InpConfirmBars,int,1,2,1,0,1,1,1,0,0,5,1,Y,شموع تأكيد إضافية,Extra confirmation bars
STRATEGY,InpUseHTF,bool,1,1,1,0,1,1,1,0,0,1,1,N,فلتر الاتجاه على إطار أعلى,Higher-timeframe EMA trend filter
STRATEGY,InpPullback,bool,1,1,1,0,1,1,1,0,0,1,1,N,دخول الاتجاه عند ارتداد EMA,Trend entry only on EMA pullback
STRATEGY,InpAllowBuy,bool,1,1,1,1,1,1,1,1,0,1,1,N,السماح بالشراء,Allow BUY
STRATEGY,InpAllowSell,bool,1,1,1,1,1,1,1,1,0,1,1,N,السماح بالبيع,Allow SELL
STRATEGY,InpCloseOnOpposite,bool,1,1,1,1,1,1,1,1,0,1,1,N,إغلاق الصفقة عند الإشارة المعاكسة,Close on opposite signal
STRATEGY,InpOneDirection,bool,1,1,1,0,1,1,1,0,0,1,1,N,اتجاه واحد لكل رمز,One direction per symbol
EMA,InpUseEMA,bool,1,1,1,1,1,1,1,1,0,1,1,N,تفعيل فلتر المتوسطات,Enable EMA filter
EMA,InpEMAFast,int,21,34,21,13,21,21,21,8,5,80,1,Y,المتوسط السريع,Fast EMA
EMA,InpEMASlow,int,55,89,55,34,55,55,55,21,10,200,1,Y,المتوسط البطيء,Slow EMA
EMA,InpEMATrend,int,200,200,200,100,200,200,200,50,20,400,5,Y,متوسط الاتجاه العام,Higher-timeframe trend EMA
RSI,InpUseRSI,bool,1,1,1,1,1,1,1,1,0,1,1,N,تفعيل RSI,Enable RSI
RSI,InpRSIPeriod,int,14,14,14,10,14,14,14,7,5,30,1,Y,فترة RSI,RSI period
RSI,InpRSIBuyMin,double,42,45,42,40,40,42,42,38,20,60,1,Y,حد RSI الأدنى للشراء الاتجاهي,Trend BUY RSI floor
RSI,InpRSIBuyMax,double,68,65,68,72,70,68,68,75,50,90,1,Y,حد RSI الأعلى للشراء الاتجاهي,Trend BUY RSI ceiling
RSI,InpRSISellMin,double,32,35,32,28,30,32,32,25,10,50,1,Y,حد RSI الأدنى للبيع الاتجاهي,Trend SELL RSI floor
RSI,InpRSISellMax,double,58,55,58,60,60,58,58,62,40,80,1,Y,حد RSI الأعلى للبيع الاتجاهي,Trend SELL RSI ceiling
RSI,InpRSIRangeLow,double,30,25,30,28,28,30,30,20,10,40,1,Y,تشبع بيعي للنطاق,Range oversold
